Player,HEIGHT_WO_SHOES,WEIGHT,WINGSPAN,STANDING_REACH,HAND_LENGTH,HAND_WIDTH,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,MODIFIED_LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS
Terrence Brown,73.5,167.3,75.5,97,8,8.5,,,,,,
Keanu Dawes,79.5,220.4,83,105,9,8.75,,,,,,
Babcar Faye,79.5,231.7,85,106.5,9.5,9.5,,,,,,
Jahki Howard,77.5,179,81.5,103,8.5,9.5,,,,,,
Alvin Jr. Jackson,,,,,,,,,,,,
Donald McHenry,72.75,159,77.5,86.5,8,8,,,,,,
Elijah Moore,74,,78.5,98,8.5,9.25,,,,,,
James Okonkwo,,,,,,,,,,,,
Jacob Patrick,76,193.2,76.5,100,7.5,8.5,,,,,,
Kendyl Sanders,78,218.4,84,106,9,9.5,,,,,,
Ibrahima IB Traore,79.5,229.7,87,108,9.5,10,,,,,,
Seydou Traore,77,224,84.5,104.5,8.5,8.5,,,,,,
